('Total Revenue', '281,724,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         862397 function calls (838123 primitive calls) in 2.964 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 status_codes.py:109(_init)
        1    0.000    0.000    0.000    0.000 ssl.py:1309(_real_close)
        3    0.000    0.000    0.006    0.002 utils.py:1(<module>)
      299    0.000    0.000    0.000    0.000 enum.py:59(_is_sunder)
      522    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      404    0.000    0.000    0.000    0.000 typing.py:1270(__eq__)
        1    0.000    0.000    0.000    0.000 timeout.py:1(<module>)
        1    0.000    0.000    0.000    0.000 auth.py:1(<module>)
       16    0.000    0.000    0.000    0.000 message.py:494(get)
       45    0.000    0.000    0.000    0.000 functools.py:479(lru_cache)
        2    0.000    0.000    0.000    0.000 _collections.py:335(extend)
        1    0.000    0.000    0.000    0.000 quoprimime.py:1(<module>)
      116    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      209    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
        1    0.000    0.000    0.003    0.003 socket.py:1(<module>)
      217    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
       78    0.000    0.000    0.000    0.000 typing.py:1196(__getattr__)
        1    0.000    0.000    0.000    0.000 stringprep.py:1(<module>)
        2    0.000    0.000    0.000    0.000 functools.py:800(singledispatch)
      394    0.000    0.000    0.000    0.000 filter.py:259(_base_match)
      524    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
    44/32    0.000    0.000    0.005    0.000 css_parser.py:579(parse_pseudo_class)
        1    0.000    0.000    0.000    0.000 errors.py:70(InvalidBase64PaddingDefect)
        8    0.000    0.000    0.000    0.000 client.py:1292(putheader)
      174    0.000    0.000    0.003    0.000 _parser.py:98(closegroup)
        9    0.000    0.000    0.000    0.000 {method 'write' of '_io.StringIO' objects}
      209    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_abspath)
        1    0.000    0.000    0.000    0.000 ipaddress.py:563(_BaseAddress)
       45    0.000    0.000    0.000    0.000 _collections.py:300(add)
      196    0.000    0.000    0.000    0.000 filter.py:629(_match_attribute_value_helper)
        2    0.000    0.000    0.893    0.446 client.py:291(_read_status)
       21    0.000    0.000    0.000    0.000 typing.py:1114(_generic_init_subclass)
        1    0.000    0.000    0.029    0.029 css_parser.py:1(<module>)
      215    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
        2    0.000    0.000    0.001    0.000 parser.py:56(parsestr)
        2    0.000    0.000    0.001    0.001 client.py:231(_parse_header_lines)
      217    0.000    0.000    0.000    0.000 _virtualenv.py:52(find_spec)
        2    0.000    0.000    0.001    0.000 parser.py:41(parse)
        2    0.000    0.000    0.001    0.000 cookies.py:1(<module>)
      335    0.000    0.000    0.000    0.000 _compiler.py:428(_get_iscased)
       88    0.000    0.000    0.000    0.000 ipaddress.py:1213(_parse_octet)
        2    0.000    0.000    0.000    0.000 feedparser.py:137(__init__)
      263    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
      217    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1456(_path_hooks)
      247    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
      220    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
  142/137    0.000    0.000    0.000    0.000 css_parser.py:385(_freeze_relations)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1567(__init__)
        2    0.000    0.000    0.000    0.000 client.py:1136(putrequest)
       24    0.000    0.000    0.000    0.000 util.py:16(lower)
        2    0.000    0.000    0.000    0.000 response.py:341(__init__)
    30/17    0.000    0.000    0.071    0.004 {built-in method builtins.__import__}
        2    0.000    0.000    0.000    0.000 socket.py:304(makefile)
       55    0.000    0.000    0.000    0.000 feedparser.py:77(readline)
      248    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
      418    0.000    0.000    0.000    0.000 typing.py:1264(<genexpr>)
       34    0.000    0.000    0.000    0.000 ipaddress.py:2241(__init__)
      249    0.000    0.000    0.000    0.000 socket.py:89(<lambda>)
      288    0.000    0.000    0.000    0.000 typing.py:1583(__eq__)
      250    0.000    0.000    0.000    0.000 socket.py:94(<lambda>)
        2    0.000    0.000    0.000    0.000 poolmanager.py:95(_default_key_normalizer)
    81/55    0.000    0.000    0.000    0.000 typing.py:1591(__hash__)
        5    0.000    0.000    0.000    0.000 __init__.py:1790(isEnabledFor)
        1    0.000    0.000    0.000    0.000 wait.py:57(poll_wait_for_socket)
      107    0.000    0.000    0.000    0.000 typing.py:2330(get_origin)
       55    0.000    0.000    0.000    0.000 _compiler.py:407(_generate_overlap_table)
       50    0.000    0.000    0.000    0.000 ipaddress.py:1920(__init__)
        1    0.000    0.000    2.709    2.709 _request_methods.py:147(request_encode_url)
       66    0.000    0.000    0.000    0.000 typing.py:892(__init__)
        6    0.000    0.000    0.000    0.000 feedparser.py:100(push)
       79    0.000    0.000    0.000    0.000 css_types.py:267(__init__)
