('Total Revenue', '281,724,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         862734 function calls (838439 primitive calls) in 4.154 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 constant.py:1(<module>)
        2    0.000    0.000    1.837    0.919 connectionpool.py:592(urlopen)
      122    0.000    0.000    0.001    0.000 _htmlparser.py:285(handle_comment)
      196    0.000    0.000    0.000    0.000 filter.py:618(_attribute_match)
      165    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
        2    0.000    0.000    1.840    0.920 adapters.py:590(send)
        5    0.000    0.000    0.000    0.000 url.py:227(_encode_invalid_chars)
       25    0.000    0.000    0.000    0.000 cookiejar.py:620(request_host)
       54    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
        2    0.000    0.000    0.000    0.000 _collections.py:335(extend)
      218    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
     1347    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
       23    0.000    0.000    0.001    0.000 enum.py:528(__new__)
      190    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
      100    0.000    0.000    0.000    0.000 enum.py:1551(__or__)
     1347    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        4    0.000    0.000    0.000    0.000 parse.py:452(urlsplit)
       13    0.000    0.000    0.000    0.000 <frozen _collections_abc>:974(update)
      220    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:416(__enter__)
      743    0.000    0.000    0.000    0.000 _parser.py:83(groups)
       43    0.000    0.000    2.058    0.048 models.py:816(generate)
       52    0.000    0.000    0.000    0.000 feedparser.py:77(readline)
        2    0.000    0.000    0.000    0.000 feedparser.py:137(__init__)
      268    0.000    0.000    0.000    0.000 <frozen os>:795(decode)
      176    0.000    0.000    0.000    0.000 _parser.py:86(opengroup)
      660    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      206    0.000    0.000    0.000    0.000 typing.py:730(<genexpr>)
        2    0.000    0.000    0.000    0.000 models.py:658(__init__)
        6    0.000    0.000    0.004    0.001 cookies.py:124(extract_cookies_to_jar)
      312    0.000    0.000    0.060    0.000 __init__.py:226(compile)
      256    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      142    0.000    0.000    0.001    0.000 css_types.py:203(__init__)
    32/16    0.000    0.000    0.000    0.000 cookiejar.py:1227(deepvalues)
      165    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
        2    0.000    0.000    0.003    0.001 client.py:231(_parse_header_lines)
      425    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
